"","varname","series","outcome","N","degf","index","varnameModel","estimate","standard_error","tstat","pvalue","rsq","adjrsq","noenv_rsq","noenv_adjrsq","model_name","var_desc"
"91","DR1TMAGN","2001-2002","msys",3466,3,2,"DR1TMAGN",-0.00245252930044363,0.00201876416361849,-1.21486667172041,0.311312749678656,0.171182226338437,0.168301886551602,0.170895292206371,0.168254831353525,"reduced_model","Magnesium (mg)"
"93","DR1TMAGN","2005-2006","msys",3385,3,2,"DR1TMAGN",-0.00853883241585664,0.00277652847234271,-3.0753628140006,0.0543331487767986,0.129618210164482,0.12652076607254,0.126590050308246,0.123741692927098,"reduced_model","Magnesium (mg)"
"94","DR1TMAGN","1999-2000","msys",2983,2,2,"DR1TMAGN",-0.0078781876246554,0.0016844567604049,-4.67699011921309,0.0428021689345143,0.174642896855329,0.171308120681008,0.170687712330114,0.167617219174823,"reduced_model","Magnesium (mg)"
"96","DR1TMAGN","2003-2004","msys",3119,3,2,"DR1TMAGN",-0.015222223667559,0.00295417412459945,-5.15278484798962,0.0141704788268371,0.152957610719671,0.149685070902748,0.145347429237871,0.142321623548015,"reduced_model","Magnesium (mg)"
"98","DR1TVARA","2003-2004","msys",3119,3,2,"DR1TVARA",-0.000813722196724021,0.000623225618396006,-1.30566230383516,0.282769748362221,0.14626162705117,0.142963217368174,0.145347429237871,0.142321623548015,"reduced_model","Vitamin A, RAE (mcg)"
"100","DR1TVARA","2005-2006","msys",3385,3,2,"DR1TVARA",-0.00117753149416903,0.000394802783244291,-2.98258154234036,0.0584761777960348,0.128209983083465,0.12510752750725,0.126590050308246,0.123741692927098,"reduced_model","Vitamin A, RAE (mcg)"
"102","DR1TVARA","2001-2002","msys",3466,3,2,"DR1TVARA",-0.000281211258359501,0.000350288617716949,-0.802798732634624,0.480803174623664,0.171165910820057,0.168285514332898,0.170895292206371,0.168254831353525,"reduced_model","Vitamin A, RAE (mcg)"
"104","DR1TVB1","2005-2006","msys",3385,3,2,"DR1TVB1",-0.351360140459652,0.343754844665531,-1.02212418504682,0.381954761922385,0.126911586657992,0.123804510453928,0.126590050308246,0.123741692927098,"reduced_model","Thiamin (Vitamin B1) (mg)"
"106","DR1TVB1","2003-2004","msys",3119,3,2,"DR1TVB1",-0.888845072548555,0.399219641878817,-2.22645626443992,0.112366117389849,0.146753230252086,0.14345671987315,0.145347429237871,0.142321623548015,"reduced_model","Thiamin (Vitamin B1) (mg)"
"107","DR1TVB1","1999-2000","msys",2983,2,2,"DR1TVB1",-0.874468238815229,0.303120663385928,-2.8848849466322,0.102085953899905,0.172769976883333,0.169427633355589,0.170687712330114,0.167617219174823,"reduced_model","Thiamin (Vitamin B1) (mg)"
"109","DR1TVB1","2001-2002","msys",3466,3,2,"DR1TVB1",-0.224680844797278,0.32593165298918,-0.689349569876653,0.540136759467743,0.171036800197582,0.168155955020163,0.170895292206371,0.168254831353525,"reduced_model","Thiamin (Vitamin B1) (mg)"
"110","DR1TVB2","1999-2000","msys",2983,2,2,"DR1TVB2",-0.260893847766335,0.36136660859622,-0.721964458143528,0.54531633261774,0.170927228721778,0.167577439746917,0.170687712330114,0.167617219174823,"reduced_model","Riboflavin (Vitamin B2) (mg)"
"112","DR1TVB2","2005-2006","msys",3385,3,2,"DR1TVB2",-0.693743392386097,0.398503018513783,-1.74087361991238,0.180076921322059,0.128263602382595,0.125161337622391,0.126590050308246,0.123741692927098,"reduced_model","Riboflavin (Vitamin B2) (mg)"
"114","DR1TVB2","2001-2002","msys",3466,3,2,"DR1TVB2",-0.498867194768379,0.275640777493889,-1.80984540569089,0.168016546353291,0.171925806158983,0.169048050489683,0.170895292206371,0.168254831353525,"reduced_model","Riboflavin (Vitamin B2) (mg)"
"116","DR1TVB2","2003-2004","msys",3119,3,2,"DR1TVB2",-1.21878993932844,0.355568245590859,-3.42772436639593,0.0416071843997772,0.150384844131273,0.147102364456313,0.145347429237871,0.142321623548015,"reduced_model","Riboflavin (Vitamin B2) (mg)"
"117","DR1TVB6","1999-2000","msys",2983,2,2,"DR1TVB6",-0.632807157650609,0.388208817785538,-1.63006899549664,0.244652070811434,0.172428858543516,0.169085136759854,0.170687712330114,0.167617219174823,"reduced_model","Vitamin B6 (mg)"
"119","DR1TVB6","2005-2006","msys",3385,3,2,"DR1TVB6",-0.577426824871414,0.263938225586922,-2.18773473826076,0.116501276213521,0.128049054634227,0.124946026358904,0.126590050308246,0.123741692927098,"reduced_model","Vitamin B6 (mg)"
"121","DR1TVB6","2003-2004","msys",3119,3,2,"DR1TVB6",-0.471924895524848,0.302464629933413,-1.56026473452034,0.216606005007703,0.146039737113235,0.142740470160678,0.145347429237871,0.142321623548015,"reduced_model","Vitamin B6 (mg)"
"123","DR1TVB6","2001-2002","msys",3466,3,2,"DR1TVB6",-0.18763241612584,0.18982777246851,-0.988435009724223,0.395812009158007,0.171072083353703,0.168191360793681,0.170895292206371,0.168254831353525,"reduced_model","Vitamin B6 (mg)"
"125","LBXFOL","2003-2004","msys",3011,3,2,"LBXFOL",-0.0301941983670987,0.0333917220985938,-0.904242023755051,0.432521534650255,0.139782269884803,0.1363391035201,0.139164989158816,0.136007541636557,"reduced_model","Folate, serum (ng/mL)"
"127","LBXFOL","2005-2006","msys",3205,3,2,"LBXFOL",-0.0271482308977151,0.0404139246293805,-0.671754380369645,0.549842793664466,0.129160316867305,0.125886483472069,0.128838051650419,0.125836867362337,"reduced_model","Folate, serum (ng/mL)"
"129","LBXFOL","2001-2002","msys",3305,3,2,"LBXFOL",-0.0386510925647401,0.0340275548642174,-1.13587628376392,0.338540568960206,0.176499963187107,0.173498140452673,0.176106242485274,0.173354092065395,"reduced_model","Folate, serum (ng/mL)"
"130","LBXFOL","1999-2000","msys",2833,2,2,"LBXFOL",-0.106926053785408,0.0486000549847125,-2.20012207432775,0.158795328574923,0.17799785876457,0.174499977312504,0.172929450827188,0.169704432733994,"reduced_model","Folate, serum (ng/mL)"
"132","LBXIRN","2003-2004","msys",1150,4,2,"LBXIRN",-0.0188408743786135,0.013306365783193,-1.41592938940631,0.229733124011433,0.157966356436121,0.14907945782331,0.155702010639121,0.147540958017882,"reduced_model","Iron, Frozen Serum (ug/dL)"
"134","LBXIRN","2005-2006","msys",1361,4,2,"LBXIRN",-0.0203059938393858,0.0132324818002498,-1.53455671777327,0.199681377746603,0.116801263475952,0.108938960183453,0.113482840473513,0.106254012634528,"reduced_model","Iron, Frozen Serum (ug/dL)"
"136","LBXIRN","2001-2002","msys",3312,3,2,"LBXIRN",-0.00324134722015517,0.00647995020412774,-0.500211748246217,0.651315342472848,0.176645617258915,0.173650693769102,0.176565497740568,0.17382071606637,"reduced_model","Iron, Frozen Serum (ug/dL)"
"137","LBXIRN","1999-2000","msys",2833,2,2,"LBXIRN",-0.0191797270118305,0.00943566667683689,-2.03268382285205,0.1791274832298,0.175261027419622,0.171751499876726,0.172929450827188,0.169704432733994,"reduced_model","Iron, Frozen Serum (ug/dL)"
"139","LBXSCA","2003-2004","msys",2989,3,2,"LBXSCA",1.71666017779933,0.980387715794377,1.75100131319819,0.1782452872396,0.139641300748728,0.136172112445295,0.137833993256084,0.134648294205301,"reduced_model","Total calcium (mg/dL)"
"141","LBXSCA","2005-2006","msys",3215,3,2,"LBXSCA",2.81947896797547,0.878958250719953,3.207750727257,0.0490404137378531,0.133308105492021,0.130060040927969,0.128564260362108,0.125571505714585,"reduced_model","Total calcium (mg/dL)"
"143","LBXSCA","2001-2002","msys",3297,3,2,"LBXSCA",1.80742043929783,0.900542795819856,2.00703447708152,0.138379985261289,0.179531221029261,0.176533162153606,0.177025297092772,0.174269521831895,"reduced_model","Total calcium (mg/dL)"
"144","LBXSCA","1999-2000","msys",2809,2,2,"LBXSCA",2.67402767403897,1.3142398726769,2.03465724152197,0.178867801834344,0.177501991317472,0.173971956945444,0.172356821224044,0.169101878440155,"reduced_model","Total calcium (mg/dL)"
"146","NAKRATIO","2001-2002","msys",3352,1,2,"NAKRATIO",0.0966128023555196,0.296089487823595,0.326295955542602,0.799207832182136,0.196319054631571,0.192947303587172,0.196295532316718,0.193165466984219,"reduced_model","Sodium/Potassium ratio"
"148","NAKRATIO","2003-2004","msys",3080,1,2,"NAKRATIO",1.23865910301284,0.664665854564415,1.86358166965654,0.3135339604178,0.175421111102408,0.171654682246106,0.173408779833626,0.169903989924244,"reduced_model","Sodium/Potassium ratio"
"150","NAKRATIO","2005-2006","msys",3356,1,2,"NAKRATIO",1.7049866335661,0.474794011814467,3.59100281625361,0.172901376106598,0.150972522833328,0.147414790214252,0.147273914634913,0.143956907121524,"reduced_model","Sodium/Potassium ratio"
"151","NAKRATIO","2005-2006","msys",3356,1,2,"NAKRATIO",1.7049866335661,0.474794011814467,3.59100281625361,0.172901376106598,0.150972522833328,0.147414790214252,0.147273914634913,0.143956907121524,"reduced_model","Sodium/Potassium ratio"
"152","NAKRATIO","2001-2002","msys",3352,1,2,"NAKRATIO",0.0966128023555196,0.296089487823595,0.326295955542602,0.799207832182136,0.196319054631571,0.192947303587172,0.196295532316718,0.193165466984219,"reduced_model","Sodium/Potassium ratio"
"154","NAKRATIO","2003-2004","msys",3080,1,2,"NAKRATIO",1.23865910301284,0.664665854564415,1.86358166965654,0.3135339604178,0.175421111102408,0.171654682246106,0.173408779833626,0.169903989924244,"reduced_model","Sodium/Potassium ratio"
